date,value,metric,source,fetched_at
2007-01-01,4.6,unemployment_bls,BLS,2026-03-15 21:39:21.448956
2006-12-01,4.4,unemployment_bls,BLS,2026-03-15 21:39:21.448956
2006-11-01,4.5,unemployment_bls,BLS,2026-03-15 21:39:21.448957
2006-10-01,4.4,unemployment_bls,BLS,2026-03-15 21:39:21.448958
2006-09-01,4.5,unemployment_bls,BLS,2026-03-15 21:39:21.448958
2006-08-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448959
2006-07-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448959
2006-06-01,4.6,unemployment_bls,BLS,2026-03-15 21:39:21.448960
2006-05-01,4.6,unemployment_bls,BLS,2026-03-15 21:39:21.448960
2006-04-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448961
2006-03-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448962
2006-02-01,4.8,unemployment_bls,BLS,2026-03-15 21:39:21.448962
2006-01-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448964
2005-12-01,4.9,unemployment_bls,BLS,2026-03-15 21:39:21.448964
2005-11-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448965
2005-10-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448965
2005-09-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448966
2005-08-01,4.9,unemployment_bls,BLS,2026-03-15 21:39:21.448968
2005-07-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448969
2005-06-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448970
2005-05-01,5.1,unemployment_bls,BLS,2026-03-15 21:39:21.448970
2005-04-01,5.2,unemployment_bls,BLS,2026-03-15 21:39:21.448971
2005-03-01,5.2,unemployment_bls,BLS,2026-03-15 21:39:21.448971
2005-02-01,5.4,unemployment_bls,BLS,2026-03-15 21:39:21.448972
2005-01-01,5.3,unemployment_bls,BLS,2026-03-15 21:39:21.448973
2004-12-01,5.4,unemployment_bls,BLS,2026-03-15 21:39:21.448974
2004-11-01,5.4,unemployment_bls,BLS,2026-03-15 21:39:21.448974
2004-10-01,5.5,unemployment_bls,BLS,2026-03-15 21:39:21.448975
2004-09-01,5.4,unemployment_bls,BLS,2026-03-15 21:39:21.448975
2004-08-01,5.4,unemployment_bls,BLS,2026-03-15 21:39:21.448976
2004-07-01,5.5,unemployment_bls,BLS,2026-03-15 21:39:21.448976
2004-06-01,5.6,unemployment_bls,BLS,2026-03-15 21:39:21.448977
2004-05-01,5.6,unemployment_bls,BLS,2026-03-15 21:39:21.448978
2004-04-01,5.6,unemployment_bls,BLS,2026-03-15 21:39:21.448978
2004-03-01,5.8,unemployment_bls,BLS,2026-03-15 21:39:21.448979
2004-02-01,5.6,unemployment_bls,BLS,2026-03-15 21:39:21.448979
2004-01-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448980
2003-12-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448981
2003-11-01,5.8,unemployment_bls,BLS,2026-03-15 21:39:21.448981
2003-10-01,6.0,unemployment_bls,BLS,2026-03-15 21:39:21.448982
2003-09-01,6.1,unemployment_bls,BLS,2026-03-15 21:39:21.448982
2003-08-01,6.1,unemployment_bls,BLS,2026-03-15 21:39:21.448983
2003-07-01,6.2,unemployment_bls,BLS,2026-03-15 21:39:21.448983
2003-06-01,6.3,unemployment_bls,BLS,2026-03-15 21:39:21.448985
2003-05-01,6.1,unemployment_bls,BLS,2026-03-15 21:39:21.448986
2003-04-01,6.0,unemployment_bls,BLS,2026-03-15 21:39:21.448986
2003-03-01,5.9,unemployment_bls,BLS,2026-03-15 21:39:21.448988
2003-02-01,5.9,unemployment_bls,BLS,2026-03-15 21:39:21.448988
2003-01-01,5.8,unemployment_bls,BLS,2026-03-15 21:39:21.448989
2002-12-01,6.0,unemployment_bls,BLS,2026-03-15 21:39:21.448990
2002-11-01,5.9,unemployment_bls,BLS,2026-03-15 21:39:21.448990
2002-10-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448991
2002-09-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448991
2002-08-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448992
2002-07-01,5.8,unemployment_bls,BLS,2026-03-15 21:39:21.448992
2002-06-01,5.8,unemployment_bls,BLS,2026-03-15 21:39:21.448993
2002-05-01,5.8,unemployment_bls,BLS,2026-03-15 21:39:21.448995
2002-04-01,5.9,unemployment_bls,BLS,2026-03-15 21:39:21.448995
2002-03-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448996
2002-02-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448996
2002-01-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448997
2001-12-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448997
2001-11-01,5.5,unemployment_bls,BLS,2026-03-15 21:39:21.448998
2001-10-01,5.3,unemployment_bls,BLS,2026-03-15 21:39:21.448999
2001-09-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448999
2001-08-01,4.9,unemployment_bls,BLS,2026-03-15 21:39:21.449000
2001-07-01,4.6,unemployment_bls,BLS,2026-03-15 21:39:21.449000
2001-06-01,4.5,unemployment_bls,BLS,2026-03-15 21:39:21.449001
2001-05-01,4.3,unemployment_bls,BLS,2026-03-15 21:39:21.449001
2001-04-01,4.4,unemployment_bls,BLS,2026-03-15 21:39:21.449002
2001-03-01,4.3,unemployment_bls,BLS,2026-03-15 21:39:21.449003
2001-02-01,4.2,unemployment_bls,BLS,2026-03-15 21:39:21.449003
2001-01-01,4.2,unemployment_bls,BLS,2026-03-15 21:39:21.449004
2000-12-01,3.9,unemployment_bls,BLS,2026-03-15 21:39:21.449004
2000-11-01,3.9,unemployment_bls,BLS,2026-03-15 21:39:21.449005
2000-10-01,3.9,unemployment_bls,BLS,2026-03-15 21:39:21.449006
2000-09-01,3.9,unemployment_bls,BLS,2026-03-15 21:39:21.449007
2000-08-01,4.1,unemployment_bls,BLS,2026-03-15 21:39:21.449008
2000-07-01,4.0,unemployment_bls,BLS,2026-03-15 21:39:21.449008
2000-06-01,4.0,unemployment_bls,BLS,2026-03-15 21:39:21.449009
2000-05-01,4.0,unemployment_bls,BLS,2026-03-15 21:39:21.449010
2000-04-01,3.8,unemployment_bls,BLS,2026-03-15 21:39:21.449010
2000-03-01,4.0,unemployment_bls,BLS,2026-03-15 21:39:21.449011
2000-02-01,4.1,unemployment_bls,BLS,2026-03-15 21:39:21.449011
2000-01-01,4.0,unemployment_bls,BLS,2026-03-15 21:39:21.449012
2019-12-01,151794.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450100
2019-11-01,151667.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450103
2019-10-01,151460.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450104
2019-09-01,151365.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450105
2019-08-01,151169.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450105
2019-07-01,150937.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450106
2019-06-01,150838.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450107
2019-05-01,150618.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450108
2019-04-01,150591.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450109
2019-03-01,150295.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450110
